Champion,Skin_Count,2_Threads_Total_Time,2_Threads_Avg_Skin_Time,2_Threads_Efficiency,3_Threads_Total_Time,3_Threads_Avg_Skin_Time,3_Threads_Efficiency,Speedup_2_to_3,Efficiency_Change,Performance_Degradation
Samira,5,4.98,0.727,73.0%,3.64,0.669,91.9%,1.37x,+18.9%,-8.0%
Sejuani,12,9.39,0.737,94.3%,7.80,0.727,111.8%,1.20x,+17.5%,-1.5%
Senna,10,9.63,0.833,86.5%,7.68,0.759,98.8%,1.25x,+12.2%,-8.9%
Seraphine,10,8.98,0.781,87.0%,7.07,0.727,102.8%,1.27x,+15.8%,-7.0%
Sett,9,9.21,0.774,75.7%,7.01,0.744,95.5%,1.31x,+19.8%,-4.0%
Shaco,15,48.04,5.280,164.9%,101.33,18.338,271.5%,0.47x,+106.6%,+247.3%
Shen,12,9.31,0.641,82.6%,7.69,0.622,97.1%,1.21x,+14.5%,-2.9%
Shyvana,8,6.11,0.646,84.6%,4.82,0.610,101.2%,1.27x,+16.7%,-5.5%
Singed,12,7.83,0.589,90.2%,6.11,0.591,116.1%,1.28x,+25.8%,+0.4%
Sion,10,7.94,0.659,83.0%,6.34,0.659,104.0%,1.25x,+21.0%,-0.1%
Sivir,18,13.17,0.684,93.4%,11.03,0.666,108.7%,1.19x,+15.2%,-2.6%
Skarner,5,4.13,0.650,78.7%,3.24,0.626,96.6%,1.28x,+18.0%,-3.8%
Smolder,1,1.36,0.630,46.5%,1.18,0.496,42.0%,1.15x,-4.5%,-21.3%
Sona,15,12.09,0.804,99.8%,10.46,0.776,111.3%,1.16x,+11.5%,-3.5%
Soraka,16,13.03,0.695,85.4%,9.65,0.660,109.4%,1.35x,+24.0%,-5.1%
Swain,9,7.84,0.747,85.7%,5.42,0.639,106.0%,1.45x,+20.3%,-14.5%
Sylas,9,8.15,0.758,83.7%,6.85,0.706,92.8%,1.19x,+9.1%,-6.8%
Syndra,13,26.44,3.000,147.5%,18.48,2.885,203.0%,1.43x,+55.4%,-3.8%
Tahm Kench,6,5.74,0.672,70.3%,4.44,0.620,83.7%,1.29x,+13.3%,-7.8%
Taliyah,5,11.87,2.970,125.1%,8.45,2.815,166.6%,1.40x,+41.5%,-5.2%
Talon,12,9.77,0.658,80.8%,7.68,0.684,106.8%,1.27x,+26.0%,+3.9%
Taric,7,5.97,0.623,73.1%,4.85,0.601,86.8%,1.23x,+13.8%,-3.5%
Teemo,15,12.71,0.682,80.4%,10.08,0.684,101.8%,1.26x,+21.3%,+0.4%
Thresh,16,16.08,1.151,114.5%,12.56,1.146,146.0%,1.28x,+31.5%,-0.4%
Tristana,15,11.58,0.645,83.6%,9.74,0.606,93.4%,1.19x,+9.8%,-6.1%
Trundle,8,6.69,0.670,80.1%,4.78,0.598,100.1%,1.40x,+20.0%,-10.7%
Tryndamere,13,9.69,0.651,87.3%,7.63,0.598,102.0%,1.27x,+14.7%,-8.0%
Twisted Fate,16,11.74,0.617,84.2%,9.54,0.670,112.3%,1.23x,+28.2%,+8.5%
Twitch,14,11.21,0.661,82.6%,8.35,0.622,104.3%,1.34x,+21.7%,-5.9%
Udyr,6,3.96,0.624,94.4%,3.34,0.604,108.4%,1.18x,+14.0%,-3.1%
Urgot,7,6.67,0.645,67.8%,4.98,0.604,85.0%,1.34x,+17.2%,-6.5%
Varus,15,11.39,0.673,88.6%,9.88,0.651,98.8%,1.15x,+10.2%,-3.4%
Vayne,18,13.82,0.682,88.7%,11.95,0.647,97.3%,1.16x,+8.6%,-5.1%
Veigar,15,11.38,0.651,85.8%,9.28,0.626,101.2%,1.23x,+15.4%,-3.9%
Vel'Koz,6,5.92,0.912,92.4%,3.84,0.605,94.5%,1.54x,+2.2%,-33.6%
Vex,3,3.43,0.668,58.4%,2.57,0.585,68.4%,1.34x,+9.9%,-12.5%
Vi,13,9.46,0.653,89.7%,7.61,0.628,107.2%,1.24x,+17.5%,-3.8%
Viego,6,6.28,0.693,66.2%,4.95,0.671,81.4%,1.27x,+15.2%,-3.1%
Viktor,7,5.57,0.652,82.0%,4.03,0.636,110.4%,1.38x,+28.5%,-2.5%
Vladimir,13,9.78,0.639,85.0%,8.13,0.675,107.9%,1.20x,+22.9%,+5.6%
Volibear,10,7.86,0.680,86.5%,6.17,0.672,108.9%,1.27x,+22.4%,-1.2%
Warwick,15,11.71,0.655,83.9%,8.97,0.664,111.1%,1.31x,+27.1%,+1.3%
Wukong,8,7.06,0.689,78.1%,5.42,0.721,106.5%,1.30x,+28.4%,+4.6%
Xayah,12,10.40,0.793,91.5%,8.07,0.723,107.4%,1.29x,+16.0%,-8.8%
Xerath,8,6.89,0.648,75.2%,5.35,0.674,100.6%,1.29x,+25.4%,+4.0%
Xin Zhao,10,8.47,0.728,86.0%,6.43,0.684,106.4%,1.32x,+20.4%,-6.1%
Yasuo,17,14.02,0.747,90.5%,10.99,0.712,110.1%,1.28x,+19.6%,-4.7%
Yone,11,9.82,0.816,91.4%,8.11,0.783,106.2%,1.21x,+14.8%,-4.1%
Yorick,9,9.29,0.857,83.0%,6.74,0.781,104.2%,1.38x,+21.2%,-8.9%
Yunara,1,1.41,0.621,44.1%,1.30,0.535,41.0%,1.08x,-3.0%,-13.8%
Yuumi,9,8.86,0.808,82.1%,6.66,0.701,94.7%,1.33x,+12.6%,-13.2%
Zac,7,6.34,0.712,78.6%,4.53,0.646,99.7%,1.40x,+21.2%,-9.2%
Zed,14,30.14,3.204,148.9%,21.14,3.078,203.8%,1.43x,+55.0%,-3.9%
Zeri,5,5.29,0.679,64.1%,3.79,0.637,84.0%,1.40x,+19.9%,-6.2%
Ziggs,11,9.03,0.649,79.0%,6.55,0.648,108.8%,1.38x,+29.8%,-0.1%
Zilean,8,6.03,0.607,80.5%,5.01,0.606,96.8%,1.20x,+16.3%,-0.2%
Zoe,8,13.44,2.267,135.0%,8.30,1.659,160.0%,1.62x,+25.1%,-26.8%
Zyra,12,11.19,0.821,88.0%,7.73,0.744,115.4%,1.45x,+27.3%,-9.5%
